time_s,node_0,node_1,node_2,node_3,node_4
50,0,0,0,0.06666666666666668,0.9
100,0,0,0.005000000000000002,0.12000000000000002,0.8166666666666667
150,0,0.0005000000000000002,0.013500000000000005,0.16261111111111115,0.747
200,0.0001500000000000001,0.0018000000000000008,0.024358333333333343,0.19660000000000005,0.6885611111111111
250,0.0006450000000000003,0.004055833333333335,0.036712500000000016,0.22365601851851857,0.639365
300,0.001668250000000001,0.007321500000000003,0.04991684722222224,0.24513850000000006,0.5977941018518518
350,0.003364225000000002,0.011581034722222229,0.06349358750000002,0.26214148503086426,0.5625285416666665
400,0.0058292679166666705,0.01677229000000001,0.0770943659953704,0.2755456922222223,0.5324898360030863
450,0.009112174541666672,0.02280449759953705,0.09047016356250004,0.28606025760005155,0.5067954216249999
500,0.013219871459027786,0.02957106419583335,0.10344777896624234,0.29425626540046307,0.4847219052225051
550,0.018125229280069457,0.03695873567287425,0.11591149757954868,0.3005936918407919,0.46567534124030086
600,0.023775281197910895,0.044854011863541696,0.12778884310147506,0.305443061992051,0.44916717630034997
650,0.030098900397600135,0.05314749498733504,0.13903953873731995,0.3091028623162517,0.43479476486952007
700,0.0370134787745206,0.06173669936233353,0.1496469869119902,0.31181354503383857,0.42222557461419324
750,0.044430444950864484,0.0705277281172992,0.1596117215823874,0.31376879506846733,0.4111843716561578
800,0.0522596299007949,0.07943612746380802,0.16894640225721622,0.3151245977247774,0.40144281399738874
850,0.06041257916969883,0.08838715494314885,0.1776720100474481,0.31600653896069947,0.3928109923701276
900,0.06880495190173384,0.09731564045357878,0.1858149783383345,0.31651568489088633,0.3851305470291848
950,0.07735815846728733,0.10616557424205435,0.193405047882657,0.3167333188150212,0.37826906081535494
1000,0.08600038319971744,0.11488952160611463,0.20047368136156926,0.3167247592506313,0.37211548661532157
1050,0.09466712472163659,0.12344793758166009,0.20705290820936256,0.31654243847864194,0.36657641387885254
1100,0.10330136857964364,0.13180843464443034,0.21317449871386596,0.31622838582968,0.3615730163388315
1150,0.11185348839907966,0.1399450410513739,0.21886938864581612,0.31581623162642963,0.35703855328791634
1200,0.12028095419476793,0.14783747581081813,0.2241672931795011,0.31533282497117493,0.3529163211217677
1250,0.128547910679583,0.15547045754768643,0.22909646262965958,0.314799540321492,0.3491579715067084
1300,0.13662467474001402,0.16283305805588374,0.23368354332949767,0.314233333144112,0.3457221283881868
1350,0.14448718973477495,0.16991810658324513,0.2379535154337534,0.31364759316656315,0.3425732488637793
1400,0.152116464789316,0.17672164746829597,0.24192968604245144,0.31305283428861724,0.3396806832940577
1450,0.15949801959301,0.18324245132571154,0.24563372119656002,0.31245725261410773,0.33701789839351365
1500,0.16662134911282045,0.1894815783127964,0.24908570430610488,0.31186717795214985,0.33456183381557303
1550,0.17347941787281324,0.19544199091212724,0.25230421167972555,0.3112874392215099,0.3322923682292307
